번호,항목,값,라벨
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,2,2명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,3,3명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,4,4명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,5,5명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,6,6명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,7,7명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,8,8명
B1_3_7_명,가구 특성_3. 가구원 수 : (7) 기타,9,모름/ 무응답
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),1,1명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),2,2명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),3,3명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),4,4명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),5,5명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),6,6명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),7,7명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),8,8명
B1_4,가구 특성_4. 만60세 이상 가구원수 (본인포함),9,모름/ 무응답
B1_5,가구 특성_5. 소득이 있는 가구원수,1,1명
B1_5,가구 특성_5. 소득이 있는 가구원수,2,2명
B1_5,가구 특성_5. 소득이 있는 가구원수,3,3명
B1_5,가구 특성_5. 소득이 있는 가구원수,4,4명
B1_5,가구 특성_5. 소득이 있는 가구원수,5,5명
B1_5,가구 특성_5. 소득이 있는 가구원수,6,6명
B1_5,가구 특성_5. 소득이 있는 가구원수,7,7명
B1_5,가구 특성_5. 소득이 있는 가구원수,8,8명
B1_5,가구 특성_5. 소득이 있는 가구원수,9,모름/ 무응답
B2,혼인상태,1,기혼(유배우자)
B2,혼인상태,2,"기혼(사별, 실종, 이산가족)"
B2,혼인상태,3,"기혼(별거, 이혼)"
B2,혼인상태,4,사실혼(동거)
B2,혼인상태,5,미혼
B2,혼인상태,9,모름/ 무응답
B3,교육수준,1,무학(글자모름)
B3,교육수준,2,무학(글자해독)
B3,교육수준,3,초등학교
B3,교육수준,4,중학교(고등공민학교)
B3,교육수준,5,고등학교
B3,교육수준,6,"2년제, 전문대학"
B3,교육수준,7,4년제 대학
B3,교육수준,8,대학원 이상
B3,교육수준,9,모름/ 무응답
B4,주거형태(등기상 점유 형태),1,자택
B4,주거형태(등기상 점유 형태),2,전세
B4,주거형태(등기상 점유 형태),3,월세
B4,주거형태(등기상 점유 형태),4,무료 임대
B4,주거형태(등기상 점유 형태),5,공동주거
B4,주거형태(등기상 점유 형태),6,기타
B4,주거형태(등기상 점유 형태),9,모름/ 무응답
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),1,전혀 건강하지 않음
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),2,건강하지 않은 편
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),3,보통
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),4,건강한 편
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),5,매우 건강함
C1_a1,동년배와 비교한 건강상태 현황(노인 일자리 및 사회활동 지원사업 참여신청 전),9,모름/ 무응답
C1_a2,동년배와 비교한 건강상태 현황(현재),1,전혀 건강하지 않음
C1_a2,동년배와 비교한 건강상태 현황(현재),2,건강하지 않은 편
C1_a2,동년배와 비교한 건강상태 현황(현재),3,보통
C1_a2,동년배와 비교한 건강상태 현황(현재),4,건강한 편
C1_a2,동년배와 비교한 건강상태 현황(현재),5,매우 건강함
C1_a2,동년배와 비교한 건강상태 현황(현재),9,모름/ 무응답
C2_a1,현재 앓고 있는 질병 - 1) 암,1,예
C2_a1,현재 앓고 있는 질병 - 1) 암,2,아니오
C2_a1,현재 앓고 있는 질병 - 1) 암,9,모름/ 무응답
C2_a2,현재 앓고 있는 질병 - 2) 근골격계 질환,1,예
C2_a2,현재 앓고 있는 질병 - 2) 근골격계 질환,2,아니오
C2_a2,현재 앓고 있는 질병 - 2) 근골격계 질환,9,모름/ 무응답
C2_a3,현재 앓고 있는 질병 - 3) 소화기계 질환,1,예
C2_a3,현재 앓고 있는 질병 - 3) 소화기계 질환,2,아니오
C2_a3,현재 앓고 있는 질병 - 3) 소화기계 질환,9,모름/ 무응답
C2_a4,"현재 앓고 있는 질병 - 4) 내분비, 대사성",1,예
C2_a4,"현재 앓고 있는 질병 - 4) 내분비, 대사성",2,아니오
C2_a4,"현재 앓고 있는 질병 - 4) 내분비, 대사성",9,모름/ 무응답
C2_a5,현재 앓고 있는 질병 - 5) 순환기계 질환,1,예
C2_a5,현재 앓고 있는 질병 - 5) 순환기계 질환,2,아니오
C2_a5,현재 앓고 있는 질병 - 5) 순환기계 질환,9,모름/ 무응답
C2_a6,현재 앓고 있는 질병 - 6) 호흡기계 질환,1,예
C2_a6,현재 앓고 있는 질병 - 6) 호흡기계 질환,2,아니오
C2_a6,현재 앓고 있는 질병 - 6) 호흡기계 질환,9,모름/ 무응답
C2_a7,"현재 앓고 있는 질병 - 7) 눈, 귀 질환",1,예
C2_a7,"현재 앓고 있는 질병 - 7) 눈, 귀 질환",2,아니오
C2_a7,"현재 앓고 있는 질병 - 7) 눈, 귀 질환",9,모름/ 무응답
C2_a8,현재 앓고 있는 질병 - 8) 만성신장질환,1,예
C2_a8,현재 앓고 있는 질병 - 8) 만성신장질환,2,아니오
C2_a8,현재 앓고 있는 질병 - 8) 만성신장질환,9,모름/ 무응답
C2_a9,현재 앓고 있는 질병 - 9) 빈혈,1,예
C2_a9,현재 앓고 있는 질병 - 9) 빈혈,2,아니오
C2_a9,현재 앓고 있는 질병 - 9) 빈혈,9,모름/ 무응답
C2_a10,현재 앓고 있는 질병 - 10) 피부병,1,예
C2_a10,현재 앓고 있는 질병 - 10) 피부병,2,아니오
C2_a10,현재 앓고 있는 질병 - 10) 피부병,9,모름/ 무응답
C2_a11,"현재 앓고 있는 질병 - 11) 골절, 탈골 및 사고로 인한 후유증",1,예
C2_a11,"현재 앓고 있는 질병 - 11) 골절, 탈골 및 사고로 인한 후유증",2,아니오
C2_a11,"현재 앓고 있는 질병 - 11) 골절, 탈골 및 사고로 인한 후유증",9,모름/ 무응답
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,1,전혀 어렵지 않다
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,2,약간 어렵다
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,3,매우 어렵다
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,4,전혀 할 수 없다
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,5,모르겠다
C3_a1,신체동작별 어려움 - 1) 운동장 한 바퀴(400m)  정도 뛰기,9,모름/ 무응답
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,1,전혀 어렵지 않다
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,2,약간 어렵다
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,3,매우 어렵다
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,4,전혀 할 수 없다
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,5,모르겠다
C3_a2,신체동작별 어려움 - 2) 운동장 한 바퀴(400m)  정도 걷기,9,모름/ 무응답
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,1,전혀 어렵지 않다
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,2,약간 어렵다
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,3,매우 어렵다
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,4,전혀 할 수 없다
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,5,모르겠다
C3_a3,신체동작별 어려움 - 3) 쉬지 않고 10계단 오르기,9,모름/ 무응답
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",1,전혀 어렵지 않다
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",2,약간 어렵다
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",3,매우 어렵다
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",4,전혀 할 수 없다
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",5,모르겠다
C3_a4,"신체동작별 어려움 - 4) 몸을 구부리거나, 쭈그려 앉거나, 무릎을 꿇기",9,모름/ 무응답
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,1,전혀 어렵지 않다
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,2,약간 어렵다
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,3,매우 어렵다
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,4,전혀 할 수 없다
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,5,모르겠다
C3_a5,신체동작별 어려움 - 5) 머리보다 높은 곳에 있는 것을 손을 뻗쳐서 닿기,9,모름/ 무응답
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,1,전혀 어렵지 않다
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,2,약간 어렵다
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,3,매우 어렵다
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,4,전혀 할 수 없다
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,5,모르겠다
C3_a6,신체동작별 어려움 - 6) 쌀 1말(8kg) 정도의 물건을 들어 올리거나 옮기기,9,모름/ 무응답
C4,건강보험 종류,1,"국민건강보험 직장가입자(가입자, 피부양자 모두 해당)"
C4,건강보험 종류,2,"국민건강보험 지역가입자(가입자, 피부양자 모두 해당)"
C4,건강보험 종류,3,의료급여 1종
C4,건강보험 종류,4,의료급여 2종
C4,건강보험 종류,5,의료보호(국가유공자 등)
C4,건강보험 종류,6,보험료 미납으로 인한 미가입
C4,건강보험 종류,9,모름/ 무응답
C5_A1,의료시설별 이용 여부 - (a) 외래,1,없음
C5_A1,의료시설별 이용 여부 - (a) 외래,2,있음
C5_A1,의료시설별 이용 여부 - (a) 외래,9,모름/ 무응답
C5_A2,의료시설별 이용 횟수 - (a) 외래,83,년 3회
C5_A2,의료시설별 이용 횟수 - (a) 외래,84,년 4회
C5_A2,의료시설별 이용 횟수 - (a) 외래,91,월 1회
C5_A2,의료시설별 이용 횟수 - (a) 외래,92,월 2회
C5_A2,의료시설별 이용 횟수 - (a) 외래,93,월 3회
C5_A2,의료시설별 이용 횟수 - (a) 외래,94,월 4회
C5_A2,의료시설별 이용 횟수 - (a) 외래,97,수시로
C5_A2,의료시설별 이용 횟수 - (a) 외래,98,없음
C5_A2,의료시설별 이용 횟수 - (a) 외래,99,모름/ 무응답
C5_A3,의료시설별 이용 의료비 - (a) 외래,9999999999,모름/ 무응답
C5_B1,의료시설별 이용 여부 - (b) 약국,1,없음
C5_B1,의료시설별 이용 여부 - (b) 약국,2,있음
C5_B1,의료시설별 이용 여부 - (b) 약국,9,모름/ 무응답
C5_B2,의료시설별 이용 횟수 - (b) 약국,83,년 3회
C5_B2,의료시설별 이용 횟수 - (b) 약국,84,년 4회
C5_B2,의료시설별 이용 횟수 - (b) 약국,91,월 1회
C5_B2,의료시설별 이용 횟수 - (b) 약국,92,월 2회
C5_B2,의료시설별 이용 횟수 - (b) 약국,93,월 3회
C5_B2,의료시설별 이용 횟수 - (b) 약국,94,월 4회
C5_B2,의료시설별 이용 횟수 - (b) 약국,97,수시로
C5_B2,의료시설별 이용 횟수 - (b) 약국,98,없음
C5_B2,의료시설별 이용 횟수 - (b) 약국,99,모름/ 무응답
C5_B3,의료시설별 이용 의료비 - (b) 약국,9999999999,모름/ 무응답
C5_C1,의료시설별 이용 여부 - (c) 입원,1,없음
C5_C1,의료시설별 이용 여부 - (c) 입원,2,있음
C5_C1,의료시설별 이용 여부 - (c) 입원,9,모름/ 무응답
C5_C2,의료시설별 이용 횟수 - (c) 입원,83,년 3회
C5_C2,의료시설별 이용 횟수 - (c) 입원,84,년 4회
C5_C2,의료시설별 이용 횟수 - (c) 입원,91,월 1회
C5_C2,의료시설별 이용 횟수 - (c) 입원,92,월 2회
C5_C2,의료시설별 이용 횟수 - (c) 입원,93,월 3회
C5_C2,의료시설별 이용 횟수 - (c) 입원,94,월 4회
C5_C2,의료시설별 이용 횟수 - (c) 입원,97,수시로
C5_C2,의료시설별 이용 횟수 - (c) 입원,98,없음
C5_C2,의료시설별 이용 횟수 - (c) 입원,99,모름/ 무응답
C5_C3,의료시설별 이용 의료비 - (c) 입원,9999999999,모름/ 무응답
C5_D1,의료시설별 이용 여부 - (d) 이동 무료 진료 (복지관 등),1,없음
C5_D1,의료시설별 이용 여부 - (d) 이동 무료 진료 (복지관 등),2,있음
C5_D1,의료시설별 이용 여부 - (d) 이동 무료 진료 (복지관 등),9,모름/ 무응답
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),83,년 3회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),84,년 4회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),91,월 1회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),92,월 2회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),93,월 3회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),94,월 4회
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),97,수시로
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),98,없음
C5_D2,의료시설별 이용 횟수 - (d) 이동 무료 진료 (복지관 등),99,모름/ 무응답
C5_E1,의료시설별 이용 여부 - (e) 보훈병원 무료 진료,1,없음
C5_E1,의료시설별 이용 여부 - (e) 보훈병원 무료 진료,2,있음
C5_E1,의료시설별 이용 여부 - (e) 보훈병원 무료 진료,9,모름/ 무응답
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,83,년 3회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,84,년 4회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,91,월 1회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,92,월 2회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,93,월 3회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,94,월 4회
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,97,수시로
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,98,없음
C5_E2,의료시설별 이용 횟수 - (e) 보훈병원 무료 진료,99,모름/ 무응답
C6,의료이용이 필요함에도 이용하지 못한 경험,1,경제적 능력이 부족하여 이용하지 못한 적이 있다
C6,의료이용이 필요함에도 이용하지 못한 경험,2,노인 일자리 및 사회활동 지원사업 참여 때문에 시간이 부족하여
C6,의료이용이 필요함에도 이용하지 못한 경험,3,기타사유로 이용하지 못한 적이 있다
C6,의료이용이 필요함에도 이용하지 못한 경험,4,없다
C6,의료이용이 필요함에도 이용하지 못한 경험,9,모름/ 무응답
C6_1,의료기관 및 서비스 이용하지 못한 횟수,83,년 3회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,84,년 4회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,91,월 1회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,92,월 2회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,93,월 3회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,94,월 4회
C6_1,의료기관 및 서비스 이용하지 못한 횟수,97,수시로
C6_1,의료기관 및 서비스 이용하지 못한 횟수,99,모름/ 무응답
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",1,매우 좋지 않음
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",2,좋지 않음
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",3,보통
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",4,좋은 편
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",5,매우 좋음
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",9,해당 없음
D1_1_a1,"가족 및 친구, 이웃 관계 정도 - 1) 직계가족",99,모름/ 무응답
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",1,매우 좋지 않음
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",2,좋지 않음
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",3,보통
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",4,좋은 편
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",5,매우 좋음
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",9,해당 없음
D1_1_a2,"가족 및 친구, 이웃 관계 정도 - 2) 친인척",99,모름/ 무응답
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",1,매우 좋지 않음
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",2,좋지 않음
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",3,보통
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",4,좋은 편
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",5,매우 좋음
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",9,해당 없음
D1_1_a3,"가족 및 친구, 이웃 관계 정도 - 3) 친구",99,모름/ 무응답
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",1,매우 좋지 않음
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",2,좋지 않음
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",3,보통
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",4,좋은 편
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",5,매우 좋음
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",9,해당 없음
D1_1_a4,"가족 및 친구, 이웃 관계 정도 - 4) 이웃",99,모름/ 무응답
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",1,거의 매일
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",2,주 1회 이상
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",3,2주에 1회
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",4,월 1회 이상
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",5,3개월에 1회 이상
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",6,3~5개월중 1회 이상
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",7,연락 안함
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",9,해당 없음
D1_2_a1,"가족 및 친구, 이웃 연락 빈도 - 1) 직계가족",99,모름/ 무응답
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",1,거의 매일
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",2,주 1회 이상
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",3,2주에 1회
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",4,월 1회 이상
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",5,3개월에 1회 이상
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",6,3~5개월중 1회 이상
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",7,연락 안함
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",9,해당 없음
D1_2_a2,"가족 및 친구, 이웃 연락 빈도 - 2) 친인척",99,모름/ 무응답
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",1,거의 매일
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",2,주 1회 이상
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",3,2주에 1회
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",4,월 1회 이상
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",5,3개월에 1회 이상
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",6,3~5개월중 1회 이상
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",7,연락 안함
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",9,해당 없음
D1_2_a3,"가족 및 친구, 이웃 연락 빈도 - 3) 친구",99,모름/ 무응답
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",1,거의 매일
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",2,주 1회 이상
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",3,2주에 1회
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",4,월 1회 이상
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",5,3개월에 1회 이상
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",6,3~5개월중 1회 이상
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",7,연락 안함
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",9,해당 없음
D1_2_a4,"가족 및 친구, 이웃 연락 빈도 - 4) 이웃",99,모름/ 무응답
D2,거주 지역에 대한 애착 정도,1,전혀 없다
D2,거주 지역에 대한 애착 정도,2,없는 편이다
D2,거주 지역에 대한 애착 정도,3,보통이다
D2,거주 지역에 대한 애착 정도,4,그런 편이다
D2,거주 지역에 대한 애착 정도,5,매우 그런 편이다
D2,거주 지역에 대한 애착 정도,9,모름/ 무응답
D3,거주 지역에 대한 이해도 정도,1,전혀 모르고 있다
D3,거주 지역에 대한 이해도 정도,2,잘 모르고 있다
D3,거주 지역에 대한 이해도 정도,3,보통이다
D3,거주 지역에 대한 이해도 정도,4,잘 알고 있다
D3,거주 지역에 대한 이해도 정도,5,매우 잘 알고 있다
D3,거주 지역에 대한 이해도 정도,9,모름/ 무응답
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,1,전혀 그렇지 않다
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,2,별로 그렇지 않다
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,3,보통
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,4,약간 그렇다
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,5,매우 그렇다
D4_a1,주변사람에 대한 신뢰도 - 1) 내가 완전히 믿을 수 있는 사람은 극히 소수에 불과하다,9,모름/ 무응답
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,1,전혀 그렇지 않다
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,2,별로 그렇지 않다
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,3,보통
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,4,약간 그렇다
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,5,매우 그렇다
D4_a2,주변사람에 대한 신뢰도 - 2) 만약 조심하지 않는다면 다른 사람들은 나를 이용하려 들것이다,9,모름/ 무응답
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,1,매우 불평등하다
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,2,대체로 불평등하다
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,3,보통
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,4,대체로 평등하다
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,5,매우 평등하다
D5_a1,우리나라 평등성에 대한 인식 - 1)교육의 기회,9,모름/ 무응답
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,1,매우 불평등하다
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,2,대체로 불평등하다
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,3,보통
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,4,대체로 평등하다
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,5,매우 평등하다
D5_a2,우리나라 평등성에 대한 인식 - 2)취업의 기회,9,모름/ 무응답
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",1,매우 불평등하다
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",2,대체로 불평등하다
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",3,보통
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",4,대체로 평등하다
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",5,매우 평등하다
D5_a3,"우리나라 평등성에 대한 인식 - 3)승진, 승급의 기회",9,모름/ 무응답
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,1,매우 불평등하다
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,2,대체로 불평등하다
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,3,보통
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,4,대체로 평등하다
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,5,매우 평등하다
D5_a4,우리나라 평등성에 대한 인식 - 4)법의 집행,9,모름/ 무응답
D5_a5,우리나라 평등성에 대한 인식 - 5)노인의 대우,1,매우 불평등하다
D5_a5,우리나라 평등성에 대한 인식 - 5)노인의 대우,2,대체로 불평등하다
D5_a5,우리나라 평등성에 대한 인식 - 5)노인의 대우,3,보통
D5_a5,우리나라 평등성에 대한 인식 - 5)노인의 대우,4,대체로 평등하다
